timestamp,action,package,version
2025-08-05 16:48:11,installed,base-passwd,3.6.3build1
2025-08-05 16:48:11, installed, base-passwd                                  , 3.6.3build1
2025-08-05 16:48:12,installed,base-files,13ubuntu10
2025-08-05 16:48:12, installed, base-files                                   , 13ubuntu10
2025-08-05 16:48:12,installed,dpkg,1.22.6ubuntu6
2025-08-05 16:48:12, installed, dpkg                                         , 1.22.6ubuntu6
2025-08-05 16:48:12,installed,libc6,2.39-0ubuntu8
2025-08-05 16:48:12, installed, libc6                                        , 2.39-0ubuntu8
2025-08-05 16:48:13,installed,debconf,1.5.86ubuntu1
2025-08-05 16:48:13, installed, debconf                                      , 1.5.86ubuntu1
2025-08-05 16:48:13,installed,mawk,1.3.4.20240123-1build1
2025-08-05 16:48:13, installed, mawk                                         , 1.3.4.20240123-1build1
2025-08-05 16:48:13,installed,perl-base,5.38.2-3.2build2
2025-08-05 16:48:13, installed, perl-base                                    , 5.38.2-3.2build2
2025-08-05 16:48:17,installed,base-files,13ubuntu10
2025-08-05 16:48:17, installed, base-files                                   , 13ubuntu10
2025-08-05 16:48:17,installed,bash,5.2.21-2ubuntu4
2025-08-05 16:48:17, installed, bash                                         , 5.2.21-2ubuntu4
2025-08-05 16:48:17,installed,debconf,1.5.86ubuntu1
2025-08-05 16:48:17, installed, debconf                                      , 1.5.86ubuntu1
2025-08-05 16:48:17,installed,debianutils,5.17build1
2025-08-05 16:48:17, installed, debianutils                                  , 5.17build1
2025-08-05 16:48:17,installed,diffutils,1:3.10-1build1
2025-08-05 16:48:17, installed, diffutils                                    , 1:3.10-1build1
2025-08-05 16:48:17,installed,e2fsprogs,1.47.0-2.4~exp1ubuntu4
2025-08-05 16:48:17, installed, e2fsprogs                                    , 1.47.0-2.4~exp1ubuntu4
2025-08-05 16:48:17,installed,findutils,4.9.0-5build1
2025-08-05 16:48:17, installed, findutils                                    , 4.9.0-5build1
2025-08-05 16:48:17,installed,gcc-14-base,14-20240412-0ubuntu1
2025-08-05 16:48:17, installed, gcc-14-base                                  , 14-20240412-0ubuntu1
2025-08-05 16:48:17,installed,grep,3.11-4build1
2025-08-05 16:48:17, installed, grep                                         , 3.11-4build1
2025-08-05 16:48:17,installed,hostname,3.23+nmu2ubuntu2
2025-08-05 16:48:17, installed, hostname                                     , 3.23+nmu2ubuntu2
2025-08-05 16:48:17,installed,init-system-helpers,1.66ubuntu1
2025-08-05 16:48:17, installed, init-system-helpers                          , 1.66ubuntu1
2025-08-05 16:48:17,installed,libacl1,2.3.2-1build1
2025-08-05 16:48:17, installed, libacl1                                      , 2.3.2-1build1
2025-08-05 16:48:17,installed,libattr1,1:2.5.2-1build1
2025-08-05 16:48:17, installed, libattr1                                     , 1:2.5.2-1build1
2025-08-05 16:48:17,installed,libaudit1,1:3.1.2-2.1build1
2025-08-05 16:48:17, installed, libaudit1                                    , 1:3.1.2-2.1build1
2025-08-05 16:48:17,installed,libaudit-common,1:3.1.2-2.1build1
2025-08-05 16:48:17, installed, libaudit-common                              , 1:3.1.2-2.1build1
2025-08-05 16:48:17,installed,libblkid1,2.39.3-9ubuntu6
2025-08-05 16:48:17, installed, libblkid1                                    , 2.39.3-9ubuntu6
2025-08-05 16:48:17,installed,libbz2-1.0,1.0.8-5.1
2025-08-05 16:48:17, installed, libbz2-1.0                                   , 1.0.8-5.1
2025-08-05 16:48:17,installed,libc6,2.39-0ubuntu8
2025-08-05 16:48:17, installed, libc6                                        , 2.39-0ubuntu8
2025-08-05 16:48:17,installed,libcap2,1:2.66-5ubuntu2
2025-08-05 16:48:17, installed, libcap2                                      , 1:2.66-5ubuntu2
2025-08-05 16:48:17,installed,libcap-ng0,0.8.4-2build2
2025-08-05 16:48:17, installed, libcap-ng0                                   , 0.8.4-2build2
2025-08-05 16:48:17,installed,libc-bin,2.39-0ubuntu8
2025-08-05 16:48:17, installed, libc-bin                                     , 2.39-0ubuntu8
2025-08-05 16:48:17,installed,libcom-err2,1.47.0-2.4~exp1ubuntu4
2025-08-05 16:48:17, installed, libcom-err2                                  , 1.47.0-2.4~exp1ubuntu4
2025-08-05 16:48:17,installed,libcrypt1,1:4.4.36-4build1
2025-08-05 16:48:17, installed, libcrypt1                                    , 1:4.4.36-4build1
2025-08-05 16:48:17,installed,libdebconfclient0,0.271ubuntu3
2025-08-05 16:48:17, installed, libdebconfclient0                            , 0.271ubuntu3
